C,Sigma,TP,FP,TN,FN,Pre,Re,Acc,ET,EC
C: 1.8,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 230.8065, Eidx_CV: 50.01851 
C: 2.0,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 174.86438, Eidx_CV: 39.39209 
C: 3.0,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 199.62818, Eidx_CV: 43.98871 
C: 3.0,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 177.99891, Eidx_CV: 40.04884 
C: 3.0,  Sigma: 0.06, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 182.6489, Eidx_CV: 40.7649 
C: 4.0,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 178.12466, Eidx_CV: 40.10863 
C: 4.0,  Sigma: 0.08, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 164.25114, Eidx_CV: 36.85695 
C: 4.0,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 151.76069, Eidx_CV: 35.16609 
C: 4.0,  Sigma: 0.06, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 189.9342, Eidx_CV: 42.16098 
C: 0.6,  Sigma: 0.06, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 109.63544, Eidx_CV: 26.38645 
