quote_time,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-4-20,0.899771763,-0.302617611,-0.66346243,2.526659271,-0.774406605
2017-4-19,0.899771763,0.161112848,-0.483922377,2.526659271,-0.774406605
2017-4-18,1.403603237,-0.434882371,-0.429366155,2.612295198,-0.553564199
2017-4-17,1.504369531,-0.068405036,-1.296067492,2.629422383,-0.509395718
2017-4-14,1.806668416,1.47394515,-0.712647815,2.680803939,-0.376890275
2017-4-13,1.605135826,2.554656033,3.724387719,2.646549568,-0.465227237
2017-4-12,1.504369531,0.109544899,-0.613106114,2.629422383,-0.509395718
2017-4-11,1.403603237,0.373011228,-1.490571185,2.612295198,-0.553564199
2017-4-10,1.403603237,1.192691192,0.127906942,2.612295198,-0.553564199
2017-4-7,1.705902121,2.806409652,1.672294952,2.663676753,-0.421058756
2017-4-6,1.705902121,0.723310132,0.186831695,2.663676753,-0.421058756
2017-4-5,1.504369531,0.600703754,0.015577985,2.629422383,-0.509395718
2017-3-31,1.202070647,1.326228899,1.675085959,2.578040827,-0.641901162
2017-3-30,1.202070647,0.71000904,-0.22992186,-0.069163222,-0.395548907
2017-3-29,1.101304353,1.836312228,0.571807804,-0.078458443,-0.440446241
2017-3-28,1.403603237,-0.246382191,-1.493979964,-0.050572781,-0.305754239
2017-3-27,1.705902121,0.063714016,0.084967044,-0.022687119,-0.171062237
2017-3-24,1.504369531,1.171177594,1.650056728,-0.04127756,-0.260856905
2017-3-23,1.302836942,0.7746347,0.35924688,-0.059868001,-0.350651573
2017-3-22,1.000538058,-0.176496619,0.330148548,-0.087753663,-0.485343575
2017-3-21,1.101304353,-0.789113799,0.103063673,-0.078458443,-0.440446241
2017-3-20,1.000538058,-0.72327924,-0.448383139,-0.087753663,-0.485343575
2017-3-17,1.101304353,-0.20496419,-0.98873369,-0.078458443,-0.440446241
2017-3-16,1.403603237,0.002201071,-0.606781828,-0.050572781,-0.305754239
2017-3-15,1.202070647,0.097945873,1.099194594,-0.069163222,-0.395548907
2017-3-14,1.202070647,-0.455944434,-0.360237128,-0.069163222,-0.395548907
2017-3-13,0.899771763,-0.23063448,0.458216512,-0.097048884,-0.530240909
2017-3-10,1.101304353,-0.333887265,-0.380116156,-0.078458443,-0.440446241
2017-3-9,1.000538058,-0.319245976,-0.178711379,-0.087753663,-0.485343575
2017-3-8,1.101304353,-0.413540099,0.693800483,-0.078458443,-0.440446241
2017-3-7,1.101304353,-0.453963761,-0.580154585,-0.078458443,-0.440446241
2017-3-6,1.101304353,-0.491225071,0.765102744,-0.078458443,-0.440446241
2017-3-3,1.000538058,-0.220410877,0.062279674,-0.087753663,-0.485343575
2017-3-2,1.302836942,-0.275663166,-1.014213642,-0.059868001,-0.350651573
2017-3-1,1.403603237,0.196286205,-0.04249418,-0.050572781,-0.305754239
2017-2-28,1.302836942,-0.486738534,-0.250024672,-0.059868001,-0.350651573
2017-2-27,1.403603237,0.788275244,-2.620566413,-0.050572781,-0.305754239
2017-2-24,1.302836942,2.692934865,4.632569623,-0.059868001,-0.350651573
2017-2-23,1.403603237,0.095190224,0.240111398,-0.050572781,-0.305754239
2017-2-22,1.504369531,-0.04623655,-0.905673268,-0.04127756,-0.260856905
2017-2-21,1.605135826,0.556044943,0.239904948,-0.03198234,-0.215959571
2017-2-20,1.202070647,1.401412811,1.596929893,-0.069163222,-0.395548907
2017-2-17,1.101304353,0.478488067,-1.822526047,-0.078458443,-0.440446241
2017-2-16,1.000538058,0.969475596,0.603851586,-0.087753663,-0.485343575
2017-2-15,1.101304353,2.245566975,1.031695098,-0.078458443,-0.440446241
2017-2-14,1.000538058,0.106976589,-0.194793944,-0.087753663,-0.485343575
2017-2-13,0.899771763,0.951338908,1.595979595,-0.097048884,-0.530240909
2017-2-10,0.698239174,0.996414029,1.534512835,-0.115639325,-0.620035577
2017-2-9,0.698239174,2.285675202,0.340026599,-0.115639325,-0.620035577
2017-2-8,0.395940289,-0.471797823,-0.063085537,-0.143524987,-0.754727579
2017-2-7,0.496706584,-0.919412297,-0.135257722,-0.134229766,-0.709830245
2017-2-6,0.496706584,-0.702316451,-0.557215063,-0.134229766,-0.709830245
2017-2-3,0.496706584,-0.855361465,-0.462966976,-0.134229766,-0.709830245
2017-1-26,0.698239174,-0.555897165,-0.619329539,-0.115639325,-0.620035577
2017-1-25,0.597472879,-0.701294891,0.42118485,-0.124934546,-0.664932911
2017-1-24,0.597472879,-0.623672367,-0.058751675,-0.124934546,-0.664932911
2017-1-23,0.698239174,-0.280298613,0.033814874,-0.115639325,-0.620035577
2017-1-20,0.496706584,-0.423718869,0.458612075,-0.134229766,-0.709830245
2017-1-19,0.395940289,-0.354428941,0.006777883,-0.143524987,-0.754727579
2017-1-18,0.295173995,-0.47769661,0.039526115,-0.152820207,-0.799624913
2017-1-17,0.1944077,-0.798704931,-0.334180378,-0.162115428,-0.844522247
2017-1-16,-0.107891184,1.064562308,0.921239946,-0.19000109,-0.979214248
2017-1-13,0.093641405,-0.370058164,0.151725843,-0.171410649,-0.889419581
2017-1-12,0.1944077,-0.590646206,-0.333332518,-0.162115428,-0.844522247
2017-1-11,0.1944077,0.484471717,-1.397837586,-0.162115428,-0.844522247
2017-1-10,0.093641405,2.455704046,2.713925113,-0.171410649,-0.889419581
2017-1-9,-0.107891184,-0.319377274,1.001389589,-0.19000109,-0.979214248
2017-1-6,0.093641405,-0.747245863,-0.423360212,-0.171410649,-0.889419581
2017-1-5,0.1944077,-0.555347956,-0.337745176,-0.162115428,-0.844522247
2017-1-4,0.093641405,-0.63497197,0.031655823,-0.171410649,-0.889419581
2017-1-3,-0.107891184,-0.896982817,0.109890686,-0.19000109,-0.979214248
2016-12-30,-0.208657479,-0.827803371,0.086509899,-0.797084144,-1.024111582
2016-12-29,-0.208657479,-0.930825584,-0.122724195,-0.797084144,-1.024111582
2016-12-28,-0.208657479,-0.761895157,-0.219009985,-0.797084144,-1.024111582
2016-12-27,-0.208657479,-0.918571672,-0.478105547,-0.797084144,-1.024111582
2016-12-26,-0.410190068,-0.442813069,-0.02097774,-0.811984537,-1.11390625
2016-12-23,-0.00712489,-0.077310859,-0.306782496,-0.782183751,-0.934316915
2016-12-22,0.1944077,0.381114855,-0.83484064,-0.767283358,-0.844522247
2016-12-21,-0.410190068,2.113664084,3.64119019,-0.811984537,-1.11390625
2016-12-20,-0.510956363,-0.684213389,-0.146730635,-0.819434733,-1.158803584
2016-12-19,-0.410190068,-0.73092973,0.069480188,-0.811984537,-1.11390625
2016-12-16,-0.510956363,-0.934493912,-0.323118789,-0.819434733,-1.158803584
2016-12-15,-0.510956363,-0.580786074,-0.449145898,-0.819434733,-1.158803584
2016-12-14,-0.410190068,-0.553407313,-0.680435407,-0.811984537,-1.11390625
2016-12-13,-0.309423774,-0.548307521,-0.123285233,-0.80453434,-1.069008916
2016-12-12,-0.208657479,0.429025684,-0.859113415,-0.797084144,-1.024111582
2016-12-9,0.496706584,-0.474398157,-0.430150978,-0.744932769,-0.709830245
2016-12-8,0.597472879,-0.657180485,-0.29646633,-0.737482572,-0.664932911
2016-12-7,0.496706584,-0.461382078,-0.210764617,-0.744932769,-0.709830245
2016-12-6,0.597472879,-0.063995357,-1.299971119,-0.737482572,-0.664932911
2016-12-5,0.597472879,0.340968199,0.182255138,-0.737482572,-0.664932911
2016-12-2,0.899771763,1.064051528,-0.369333509,-0.715131983,-0.530240909
2016-12-1,0.799005468,0.494206957,0.968149661,-0.72258218,-0.575138243
2016-11-29,1.000538058,1.872665663,0.95100333,-0.707681787,-0.485343575
2016-11-28,0.899771763,1.058348087,0.878404061,-0.715131983,-0.530240909
2016-11-25,0.496706584,0.250569773,-0.457359747,-0.744932769,-0.709830245
2016-11-24,0.496706584,0.048903002,-0.268838358,-0.744932769,-0.709830245
2016-11-23,0.496706584,0.28696644,-0.084523178,-0.744932769,-0.709830245
