quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,SA-Order2,Turn_Over-Order2
2016-10-28,1498,sh600221,3.24,3.21,3.25,3.2,day,605269.0,-2411.41,41.3971539457,1.05610561056,-0.0124223602484,5.12415941661e-05,10.4976,10.3041,10.5625,10.24,3.66350562361e+11,5814898.1881,1713.7243548,1.11535906066,0.000154315034142,2.62570097268e-09
2016-10-27,1497,sh600221,3.25,3.24,3.25,3.22,day,306460.0,-805.52,41.6558861578,1.06270627063,-0.0030959752322,2.59446608832e-05,10.5625,10.4976,10.5625,10.3684,93917731600.0,648862.4704,1735.21285159,1.12934461763,9.58506263838e-06,6.73125428346e-10
2016-10-26,1496,sh600221,3.27,3.24,3.27,3.23,day,453860.0,-1397.26,41.7852522639,1.06600660066,-0.00923076923077,3.84234281422e-05,10.6929,10.4976,10.6929,10.4329,2.059888996e+11,1952335.5076,1746.00730676,1.13637007265,8.52071005917e-05,1.4763598302e-09
2016-10-25,1495,sh600221,3.26,3.27,3.27,3.25,day,502365.0,2500.48,42.0439844761,1.07260726073,0.0,4.25298230262e-05,10.6276,10.6929,10.6929,10.5625,2.52370593225e+11,6252400.2304,1767.69663062,1.15048633576,0.0,1.80878584664e-09
2016-10-24,1494,sh600221,3.23,3.26,3.27,3.22,day,694303.0,3681.25,41.6558861578,1.06270627063,-0.00310559006211,5.8779142091e-05,10.4329,10.6276,10.6929,10.3684,4.82056655809e+11,13551601.5625,1735.21285159,1.12934461763,9.64468963389e-06,3.45498754496e-09
2016-10-21,1493,sh600221,3.26,3.24,3.27,3.22,day,577077.0,-1846.57,41.6558861578,1.06270627063,-0.00925925925926,4.88548817742e-05,10.6276,10.4976,10.6929,10.3684,3.33017863929e+11,3409820.7649,1735.21285159,1.12934461763,8.57338820302e-05,2.38679947317e-09
2016-10-20,1492,sh600221,3.26,3.26,3.27,3.24,day,532649.0,1071.81,41.91461837,1.06930693069,-0.00308641975309,4.50936424812e-05,10.6276,10.6276,10.6929,10.4976,2.83714957201e+11,1148776.6761,1756.8352331,1.14341731203,9.52598689224e-06,2.03343659222e-09
2016-10-19,1491,sh600221,3.25,3.27,3.31,3.24,day,787817.0,6008.73,41.91461837,1.06930693069,-0.01246105919,6.66959632678e-05,10.5625,10.6929,10.9561,10.4976,6.20655625489e+11,36104836.2129,1756.8352331,1.14341731203,0.000155277996137,4.44835151622e-09
2016-10-18,1490,sh600221,3.23,3.26,3.26,3.21,day,405328.0,1513.96,41.5265200517,1.05940594059,0.0,3.43147474596e-05,10.4329,10.6276,10.6276,10.3041,1.64290787584e+11,2292074.8816,1724.45186761,1.12234094697,0.0,1.17750189322e-09
2016-10-17,1489,sh600221,3.26,3.23,3.27,3.21,day,522574.0,-5286.18,41.5265200517,1.05940594059,-0.0125,4.42407009606e-05,10.6276,10.4329,10.6929,10.3041,2.73083585476e+11,27943698.9924,1724.45186761,1.12234094697,0.00015625,1.95723962149e-09
