quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB,nor_SA,nor_Turn_Over
2016-08-04,1444,sh600221,3.39,3.4,3.41,3.37,day,743130.0,19.59,561.666666667,1.25746268657,-0.00296735905045,6.291279724e-05,1.0240446774,1.04974929674,0.872385375423,1.09466710987,-0.187103958487,-0.0551950244109,1.68433671636,1.56381369703,0.676973545211,-0.187103958487
2016-08-03,1443,sh600221,3.38,3.42,3.44,3.37,day,1113946.0,3711.33,561.666666667,1.25746268657,-0.0059880239521,9.43057861132e-05,0.922640455391,1.24796785374,1.16252259304,1.09466710987,0.403832340772,0.524354077492,1.68433671636,1.56381369703,0.258910720096,0.403832340772
2016-08-02,1442,sh600221,3.37,3.37,3.39,3.34,day,475784.0,1517.22,556.666666667,1.24626865672,-0.00604229607251,4.02794966184e-05,0.821236233378,0.752421461249,0.678960563678,0.788451952588,-0.613149371472,0.179910947701,1.66139954342,1.41158450213,0.251399408275,-0.613149371472
2016-08-01,1441,sh600221,3.37,3.36,3.38,3.31,day,766038.0,-1439.39,551.666666667,1.23507462687,-0.00593471810089,6.48521703768e-05,0.821236233378,0.653312182751,0.582248157805,0.482236795308,-0.150597527418,-0.284233512683,1.63846237049,1.25935530723,0.266288299363,-0.150597527418
2016-07-29,1440,sh600221,3.39,3.38,3.44,3.37,day,1031099.0,205.2,561.666666667,1.25746268657,-0.0181268882175,8.72920247081e-05,1.0240446774,0.851530739747,1.16252259304,1.09466710987,0.271806485402,-0.026056973301,1.68433671636,1.56381369703,-1.4211193573,0.271806485402
2016-07-28,1439,sh600221,3.34,3.39,3.49,3.31,day,1599266.0,1166.81,551.666666667,1.23507462687,-0.030487804878,0.000135392592939,0.517023567339,0.950640018245,1.6460846224,0.482236795308,1.1772434254,0.124901710648,1.63846237049,1.25935530723,-3.1318816922,1.1772434254
2016-07-27,1438,sh600221,3.42,3.35,3.43,3.28,day,1518105.0,-8689.35,546.666666667,1.22388059701,-0.024024024024,0.000128521566959,1.32825734344,0.554202904254,1.06581018717,0.176021638028,1.04790439746,-1.42237103234,1.61552519755,1.10712611233,-2.23728842458,1.04790439746
2016-07-26,1437,sh600221,3.34,3.41,3.42,3.33,day,1014695.0,8805.14,555.0,1.24253731343,-0.00301204819277,8.59032750601e-05,0.517023567339,1.14885857524,0.969097781296,0.686380233495,0.245664897518,1.32400763131,1.65375381911,1.36084143717,0.670788526449,0.245664897518
2016-07-25,1436,sh600221,3.33,3.34,3.36,3.32,day,371679.0,15.99,553.333333333,1.23880597015,-0.00602409638554,3.14660497697e-05,0.415619345326,0.455093625756,0.38882334606,0.584308514402,-0.779052200461,-0.0557601716766,1.6461080948,1.3100983722,0.253918261837,-0.779052200461
2016-07-22,1435,sh600221,3.39,3.34,3.39,3.32,day,649758.0,-7152.37,553.333333333,1.23880597015,-0.014880952381,5.50079976707e-05,1.0240446774,0.455093625756,0.678960563678,0.584308514402,-0.335902565166,-1.18108768665,1.6461080948,1.3100983722,-0.97187882577,-0.335902565166
2016-07-21,1434,sh600221,3.38,3.38,3.41,3.36,day,800186.0,-1253.1,560.0,1.25373134328,-0.00892857142857,6.77431130115e-05,0.922640455391,0.851530739747,0.872385375423,0.992595390775,-0.0961789134767,-0.254988711534,1.67669099205,1.51307063207,-0.148063779038,-0.0961789134767
2016-07-20,1433,sh600221,3.37,3.38,3.39,3.36,day,429718.0,238.3,560.0,1.25373134328,-0.00298507462687,3.63795855427e-05,0.821236233378,0.851530739747,0.678960563678,0.992595390775,-0.686560636255,-0.0208607581632,1.67669099205,1.51307063207,0.674521692997,-0.686560636255
2016-07-19,1432,sh600221,3.41,3.38,3.42,3.35,day,802103.0,-3338.91,558.333333333,1.25,-0.0118694362018,6.79054047133e-05,1.22685312143,0.851530739747,0.969097781296,0.890523671682,-0.093123962003,-0.582430327748,1.66904526774,1.4623275671,-0.555082192335,-0.093123962003
2016-07-18,1431,sh600221,3.39,3.42,3.44,3.37,day,1101748.0,-350.0,561.666666667,1.25746268657,-0.00593471810089,9.3273113094e-05,1.0240446774,1.24796785374,1.16252259304,1.09466710987,0.384393478969,-0.113215240507,1.68433671636,1.56381369703,0.266288299363,0.384393478969
2016-07-15,1430,sh600221,3.39,3.41,3.41,3.37,day,769527.0,2863.62,561.666666667,1.25746268657,0.0,6.51475463535e-05,1.0240446774,1.14885857524,0.872385375423,1.09466710987,-0.145037420119,0.39127602509,1.68433671636,1.56381369703,1.08765879106,-0.145037420119
2016-07-14,1429,sh600221,3.41,3.39,3.42,3.36,day,1139484.0,-5063.15,560.0,1.25373134328,-0.00887573964497,9.6467812967e-05,1.22685312143,0.950640018245,0.969097781296,0.992595390775,0.444529967655,-0.853110750385,1.67669099205,1.51307063207,-0.140751811168,0.444529967655
2016-07-13,1428,sh600221,3.48,3.4,3.49,3.38,day,2518754.0,-11441.04,563.333333333,1.26119402985,-0.0277777777778,0.000213235718783,1.93668267552,1.04974929674,1.6460846224,1.19673882896,2.64254922648,-1.85434605448,1.69198244068,1.614556762,-2.75681142702,2.64254922648
2016-07-12,1427,sh600221,3.25,3.53,3.58,3.24,day,4166913.0,19727.66,540.0,1.20895522388,-0.015479876161,0.000352767554379,-0.395614430779,2.33816991722,2.51649627526,-0.232265238345,5.2690728394,3.03868327383,1.58494230029,0.904153852462,-1.05477043264,5.2690728394
2016-07-11,1426,sh600221,3.25,3.26,3.29,3.23,day,1031964.0,2835.65,538.333333333,1.2052238806,-0.00925925925926,8.7365254923e-05,-0.395614430779,-0.337780602228,-0.288163495049,-0.334336957438,0.27318495855,0.386885144806,1.57729657598,0.853410787495,-0.193831281634,0.27318495855
