quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-04-06,1929,sz300226,38.88,38.51,39.21,38.51,day,17376.0,-494.4,237.569401604,12.0721003135,-1.10811163798,-1.15346051159,-1.1424382884,-1.08651939315,-0.755450709724,-0.0211887397043,1.21533800533,-1.0353820421
2017-04-05,1928,sz300226,39.0,39.0,39.2,38.64,day,18148.0,-908.66,238.371375694,12.1128526646,-1.08988890105,-1.07922144884,-1.14389233365,-1.06583486807,-0.730873837805,-0.106082662872,1.22063562207,-1.02450843459
2017-03-31,1927,sz300226,38.05,38.47,38.64,37.82,day,15665.0,-28.37,233.312769895,11.855799373,-1.23415223507,-1.15952084325,-1.2253188676,-1.19630648781,-0.809920953057,0.0743143622455,1.18721988569,-1.09309580506
2017-03-30,1926,sz300226,38.89,37.89,38.99,37.8,day,21085.0,-482.61,237.139272271,12.0766773163,-1.10659307657,-1.24739565223,-1.17442728389,-1.19948872243,-0.637373484403,-0.0187726257803,1.21249669114,-1.03416079889
2017-03-29,1925,sz300226,39.6,38.88,39.6,38.73,day,19269.0,368.12,242.973651192,12.3738019169,-0.998775216406,-1.0974024438,-1.08573052369,-1.05151481225,-0.695186437,0.155566695555,1.25103696799,-0.954881537621
2017-03-28,1924,sz300226,39.47,39.4,39.58,39.22,day,11028.0,-247.3,246.047678795,12.5303514377,-1.01851651475,-1.0186181323,-1.08863861419,-0.973550063872,-0.957541361202,0.029449237447,1.27134313535,-0.913110744049
2017-03-27,1923,sz300226,40.2,39.4,40.2,39.37,day,18275.0,-1859.88,246.988707654,12.5782747604,-0.907661531763,-1.0186181323,-0.99848780874,-0.949683304165,-0.726830751362,-0.301015308059,1.27755930904,-0.900323766424
2017-03-24,1922,sz300226,39.69,40.06,40.1,39.41,day,14827.0,-227.01,247.239648683,12.5910543131,-0.98510816371,-0.91862266001,-1.01302826123,-0.94331883491,-0.836598956513,0.0336072486019,1.27921695535,-0.896913905725
2017-03-23,1921,sz300226,40.3,39.64,40.87,39.0,day,20816.0,-778.59,244.667503137,12.4600638978,-0.892475917655,-0.982256142375,-0.901066777048,-1.00855464478,-0.645937187183,-0.0794275366553,1.26222608062,-0.931864977898
2017-03-22,1920,sz300226,40.68,40.38,41.09,40.22,day,22251.0,-560.79,252.321204517,12.8498402556,-0.834770584048,-0.87014000678,-0.869077781567,-0.814438332492,-0.600253493914,-0.034793981724,1.31278429325,-0.827864226554
